,Section,Word,Estimated Frequency,Cluster,POS Role
2126,Botanical,soii,1891,8,Function
1940,Botanical,,1891,8,Function
2247,Botanical,jksh,1891,8,Function
2246,Botanical,shckhh,1891,8,Function
2245,Botanical,lo,1891,8,Function
2244,Botanical,yo,1891,8,Function
2243,Botanical,ocfhh,1891,8,Function
2242,Botanical,fy,1891,8,Function
2241,Botanical,m,1891,8,Function
2240,Botanical,yor,1891,8,Function
2239,Botanical,ykshe,1891,8,Function
2238,Botanical,psheot,1891,8,Function
2237,Botanical,on,1891,8,Function
2236,Botanical,opsh,1891,8,Function
2235,Botanical,dor,1891,8,Function
2234,Botanical,shocfh,1891,8,Function
2233,Botanical,shek,1891,8,Function
2232,Botanical,okeeor,1891,8,Function
2231,Botanical,psheor,1891,8,Function
2230,Botanical,oyg,1891,8,Function
2229,Botanical,pshes,1891,8,Function
2228,Botanical,okyd,1891,8,Function
2227,Botanical,eeedeed,1891,8,Function
2226,Botanical,alk,1891,8,Function
2225,Botanical,okeear,1891,8,Function
2224,Botanical,okeeeo,1891,8,Function
2223,Botanical,darsh,1891,8,Function
2248,Botanical,schocthh,1891,8,Function
2249,Botanical,?s,1891,8,Function
2250,Botanical,skeeod,1891,8,Function
2264,Botanical,okealsh,1891,8,Function
2275,Botanical,chir,1891,8,Function
2274,Botanical,sher,1891,8,Function
2273,Botanical,eeeyk,1891,8,Function
2272,Botanical,tyk,1891,8,Function
2271,Botanical,oy,1891,8,Function
2270,Botanical,soe,1891,8,Function
2269,Botanical,sheeet,1891,8,Function
2268,Botanical,oeeor,1891,8,Function
2267,Botanical,oke,1891,8,Function
2266,Botanical,shom,1891,8,Function
2265,Botanical,soiin,1891,8,Function
2263,Botanical,oiir,1891,8,Function
2251,Botanical,qeeo,1891,8,Function
2262,Botanical,dak,1891,8,Function
2261,Botanical,orel,1891,8,Function
2260,Botanical,sh,1891,8,Function
2259,Botanical,okeees,1891,8,Function
2258,Botanical,asal,1891,8,Function
2257,Botanical,p,1891,8,Function
35316,Unknown,,1228,8,Function
35318,Unknown,yar,1228,8,Function
35624,Unknown,schocthh,1228,8,Function
35623,Unknown,jksh,1228,8,Function
35622,Unknown,shckhh,1228,8,Function
35621,Unknown,lo,1228,8,Function
35620,Unknown,yo,1228,8,Function
35619,Unknown,ocfhh,1228,8,Function
35618,Unknown,fy,1228,8,Function
35617,Unknown,m,1228,8,Function
