,Section,Word,Estimated Frequency,Cluster,POS Role,Sections Used In,Section Count,Section Exclusive
2126,Botanical,soii,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
1940,Botanical,,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2247,Botanical,jksh,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2246,Botanical,shckhh,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2245,Botanical,lo,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2244,Botanical,yo,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2243,Botanical,ocfhh,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2242,Botanical,fy,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2241,Botanical,m,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2240,Botanical,yor,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2239,Botanical,ykshe,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2238,Botanical,psheot,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2237,Botanical,on,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2236,Botanical,opsh,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2235,Botanical,dor,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2234,Botanical,shocfh,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2233,Botanical,shek,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2232,Botanical,okeeor,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2231,Botanical,psheor,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2230,Botanical,oyg,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2229,Botanical,pshes,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2228,Botanical,okyd,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2227,Botanical,eeedeed,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2226,Botanical,alk,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2225,Botanical,okeear,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2224,Botanical,okeeeo,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2223,Botanical,darsh,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2248,Botanical,schocthh,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2249,Botanical,?s,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2250,Botanical,skeeod,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2264,Botanical,okealsh,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2275,Botanical,chir,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2274,Botanical,sher,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2273,Botanical,eeeyk,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2272,Botanical,tyk,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2271,Botanical,oy,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2270,Botanical,soe,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2269,Botanical,sheeet,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2268,Botanical,oeeor,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2267,Botanical,oke,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2266,Botanical,shom,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2265,Botanical,soiin,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2263,Botanical,oiir,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2251,Botanical,qeeo,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2262,Botanical,dak,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
2261,Botanical,orel,1891,8,Function,"['Astronomical', 'Biological', 'Botanical', 'Cosmological', 'Pharmaceutical', 'Uncategorized', 'Unknown']",7,False
