Line Tag,Cluster Sequence
<f1r>,[]
"<f1r.1,@P0>","[None, 2, 3, 3, None, None, None, 8, 9, None]"
"<f1r.2,+P0>","[8, None, 8, 5, None, None, 3, None, None, 9]"
"<f1r.3,+P0>","[5, None, 8, 2, None, None, None, 3, 8]"
"<f1r.4,+P0>","[5, None, None, 3, 7, 8, 8, 8, 9]"
"<f1r.5,+P0>","[5, None, None, None, None]"
"<f1r.6,=Pt>",[None]
"<f1r.7,*P0>","[6, 8, None, None, 6, None, 8, None, None]"
"<f1r.8,+P0>","[None, None, None, None, None, None, 8, None, 9]"
"<f1r.9,+P0>","[8, None, None, None]"
"<f1r.10,=Pt>","[8, 8, 7]"
"<f1r.11,*P0>","[3, None, 6, None, 2, None, None, None]"
"<f1r.12,+P0>","[None, None, 0, None, 9, None, None, 8]"
"<f1r.13,+P0>","[None, None, 9, None, None, None, None, 5, 8]"
"<f1r.14,+P0>","[8, 6, None, 6, None, None, 8, 9, None, 9]"
"<f1r.15,+P0>","[8, None, None, 8, None, None, 9, None, None, 9, None]"
"<f1r.16,+P0>","[None, None, None, None, None, 8, 8, None, None, None]"
"<f1r.17,+P0>","[None, None, None, None, 3, None, 5]"
"<f1r.18,+P0>","[2, None, None, None, None, 3, 3, 8, None]"
"<f1r.19,+P0>","[None, None, 9, None, None, 3, None, 7]"
"<f1r.20,+P0>","[None, None, None, 8, None]"
"<f1r.21,=Pt>","[0, 5]"
"<f1r.22,*P0>","[None, None, None, None, None, None, None, None, 3, 3]"
"<f1r.23,+P0>","[3, None, 8, None, 3, None, 8, 3, None, None]"
"<f1r.24,+P0>","[None, None, 8, None, 9, 8, 3, None, 8, None]"
"<f1r.25,+P0>","[None, None, 8, 8, None, 9, None, None, 3]"
"<f1r.26,+P0>","[None, None, None, None, None, None, None, 3, None]"
"<f1r.27,+P0>","[None, None, None, None, None]"
"<f1r.28,=Pt>",[None]
"<f1r.29,@Lx>",[8]
"<f1r.30,+Lx>",[8]
"<f1r.31,@Lx>",[3]
<f1v>,[]
"<f1v.1,@P0>","[None, None, 6, None, None, None, 8]"
"<f1v.2,+P0>","[None, None, 8, None, None, 3, 9, None]"
"<f1v.3,+P0>","[8, None, None, None, None, None, None, 3]"
"<f1v.4,+P0>","[8, None, 5, 8, None, None, 9]"
"<f1v.5,+P0>","[5, None, 5, None, 3, None, 3, 0, None]"
"<f1v.6,+P0>","[None, None, None, 8, None, None, 8, None, None]"
"<f1v.7,+P0>","[None, 6, None, None, 8, None, 2, 8, 3, 2, None]"
"<f1v.8,+P0>","[None, 9, None, None, 8, None, None, None, None, 8]"
"<f1v.9,+P0>","[None, 9, None, 3, 3, None, None, None, 3, None]"
"<f1v.10,+P0>","[8, None, 3, None, None, 3, None]"
<f2r>,[]
"<f2r.1,@P0>","[5, None, 8, None, None, None]"
"<f2r.2,+P0>","[None, None, 8, None, None, 7]"
"<f2r.3,+P0>","[None, None, 8, None, None, 2, None]"
"<f2r.4,+P0>","[5, None, None, 3, None, 8]"
"<f2r.5,+P0>","[None, 3, None, None, 9, None, 9]"
"<f2r.6,+P0>","[8, 5, 3, 8, 2, None, None, None]"
"<f2r.7,+P0>","[None, None, 5, None, 9]"
"<f2r.8,+P0>","[5, None, None, 8, None, 3, None, None, 5]"
"<f2r.9,+P0>","[None, 9, None, None, 2, 8, None, 8, 5]"
"<f2r.10,+P0>","[None, None, None, None, 8, None, None, 8, 7]"
"<f2r.11,+P0>","[None, 3, None, 3, None, 9, 6, None, None]"
"<f2r.12,+P0>","[9, None, None, None, 8, 3, None, 8, None, None, 5]"
"<f2r.13,+P0>","[None, None, None, 8, None]"
"<f2r.14,@Lp>",[2]
"<f2r.15,@L0>","[3, 3, 8]"
<f2v>,[]
"<f2v.1,@P0>","[9, None, 0, None, 5, None]"
"<f2v.2,+P0>","[None, None, None, None, None, None, None, 8]"
"<f2v.3,+P0>","[None, None, None, None, None, None, None, 8]"
"<f2v.4,+P0>","[None, None, None, None]"
"<f2v.5,+P0>","[None, None, 5, None, None, 8, None, 8]"
"<f2v.6,+P0>","[8, None, None, None, None, None, None, 8, None, None]"
"<f2v.7,+P0>","[8, None, None, None, None, None, None]"
"<f2v.8,+P0>","[None, None, None, None, 3]"
<f3r>,[]
"<f3r.1,@P0>","[None, None, None, None, 5]"
"<f3r.2,+P0>","[None, None, 8, None, None]"
"<f3r.3,+P0>","[None, None, None, 8, None]"
"<f3r.4,+P0>","[None, None, None, None, None, None]"
"<f3r.5,+P0>","[None, None, 8, None, None]"
"<f3r.6,+P0>","[None, None, None, 0]"
"<f3r.7,+P0>","[None, None, None, None, 8]"
"<f3r.8,+P0>","[None, None, None, 8, 3]"
"<f3r.9,+P0>","[None, 8, None, None, 6]"
"<f3r.10,+P0>","[8, 3, None]"
"<f3r.11,+P0>","[None, None, 3, None, None]"
"<f3r.12,+P0>","[9, None, None, None, None]"
"<f3r.13,+P0>","[None, None, None, None, None]"
"<f3r.14,+P0>","[None, None, None, None]"
"<f3r.15,+P0>","[None, None, 8, None, None, None, None, 6]"
"<f3r.16,+P0>","[None, None, 8, None, None, None, None, 8, None]"
"<f3r.17,+P0>","[None, None, None, None, 5]"
"<f3r.18,+P0>","[None, None, None, None, None, 0]"
"<f3r.19,+P0>","[None, 6, None, None, 5, None, None, None, None]"
"<f3r.20,+P0>","[None, None, 6, None, 8, 8, 8, 8]"
<f3v>,[]
"<f3v.1,@P0>","[9, None, None, None, None, 2, 8, 6]"
"<f3v.2,+P0>","[5, None, None, 9, 6, 8, 3]"
"<f3v.3,+P0>","[9, None, None, None, None, None, 8]"
"<f3v.4,+P0>","[None, None, None, None, 9, 8, 8, None]"
"<f3v.5,+P0>","[None, None, None, None, None]"
"<f3v.6,+P0>","[8, None, 9, None, None]"
"<f3v.7,+P0>","[None, None, None, None, 8]"
"<f3v.8,+P0>","[None, None, None, None, 8]"
"<f3v.9,+P0>","[None, None, None, None, None]"
"<f3v.10,+P0>","[None, 8, None, 5, None, 8]"
"<f3v.11,+P0>","[None, None, None, None, None, None]"
"<f3v.12,+P0>","[None, None, None, None, None, 8]"
"<f3v.13,+P0>","[None, None, None, 2, None, None]"
"<f3v.14,+P0>","[8, None, 8, None]"
<f4r>,[]
"<f4r.1,@P0>","[None, None, None, 6, None, None, 5, None, 2]"
"<f4r.2,+P0>","[None, None, None, None, None, None, 8, None, None]"
"<f4r.3,+P0>","[None, None, None, None, None, 8, None]"
"<f4r.4,+P0>","[None, None, 2, 8, 8, None]"
"<f4r.5,+P0>","[3, None, 3]"
"<f4r.6,+P0>","[None, None, None]"
"<f4r.7,+P0>","[None, None, 8, None]"
"<f4r.8,+P0>","[None, None, None, None, None]"
"<f4r.9,+P0>","[8, None, None, 9, 8]"
"<f4r.10,+P0>","[6, None, None, None]"
"<f4r.11,+P0>","[None, None, None]"
"<f4r.12,+P0>","[5, None, None]"
"<f4r.13,+P0>","[8, None]"
<f4v>,[]
"<f4v.1,@P0>","[None, None, None, None, 3, 3]"
"<f4v.2,+P0>","[6, None, None, None, None, None, None, None]"
"<f4v.3,+P0>","[None, None, None, None, 8, None, 6]"
"<f4v.4,+P0>","[None, None, None, 8, None, None]"
"<f4v.5,+P0>","[None, None, 7, 0, None, None, None]"
"<f4v.6,+P0>","[None, None, None]"
"<f4v.7,+P0>","[None, None, None, None, None]"
"<f4v.8,+P0>","[None, None, None, None, 0, None]"
"<f4v.9,+P0>","[None, None, None, None, 8]"
"<f4v.10,+P0>","[0, None, None, None, None]"
"<f4v.11,+P0>","[None, None, None, None, None]"
"<f4v.12,+P0>","[None, None, None, None, None, None, 8]"
"<f4v.13,+P0>","[None, 8, None, None, None, None]"
"<f4v.14,+P0>","[None, None, None]"
<f5r>,[]
"<f5r.1,@P0>","[None, None, None, 8, 6, 6, None, None, 8]"
"<f5r.2,+P0>","[None, None, None, None, None, None, None, 8, 0]"
"<f5r.3,+P0>","[None, 0, None, 8, None, None, None, None]"
"<f5r.4,+P0>","[0, None, None, 8, None, None]"
"<f5r.5,+P0>","[None, None, None, None, None, None, 8, None]"
"<f5r.6,+P0>","[None, None, None, None, None, None, None, 8]"
"<f5r.7,+P0>","[None, None, None, None, None]"
<f5v>,[]
"<f5v.1,@P0>","[None, None, None, None, None, None, 2, 8]"
"<f5v.2,+P0>","[None, 8, None, 0, 8, None, None, None]"
"<f5v.3,+P0>","[None, 2, 8, 8, None, 5, None, None, 8]"
"<f5v.4,+P0>","[None, None, 0, 2, None, 8, None, None]"
"<f5v.5,+P0>","[None, None, None, None, 8, 3, None, None]"
"<f5v.6,+P0>","[0, None, 5]"
<f6r>,[]
"<f6r.1,@P0>","[3, 8, None, None, None, None, None, None, None]"
"<f6r.2,+P0>","[8, None, None, None, 9, None, None, None]"
"<f6r.3,+P0>","[None, None, None, 3, None, None, 2, 8]"
"<f6r.4,+P0>","[3, None, None, None, None, 8, None]"
"<f6r.5,+P0>","[3, 9, None, 2, None, 8]"
"<f6r.6,+P0>","[8, 3, 8, None, 9, None, 3]"
"<f6r.7,+P0>","[8, None, None, 8, None, 8, 8]"
"<f6r.8,+P0>","[None, None, None, None, None]"
"<f6r.9,+P0>","[3, None, 5, 0, None]"
"<f6r.10,+P0>","[None, None, None, None, None, 6]"
"<f6r.11,+P0>","[None, None, 6, None]"
"<f6r.12,+P0>","[8, None, None, None, None]"
"<f6r.13,+P0>","[None, 8, None]"
"<f6r.14,+P0>","[None, 3, 8, 5]"
<f6v>,[]
"<f6v.1,@P0>","[9, None, None, None, None, 8, None, None, None]"
"<f6v.2,+P0>","[None, None, None, None, None, 6, None, None]"
"<f6v.3,+P0>","[None, None, None, None, None, None, 9, None]"
"<f6v.4,+P0>","[None, None, 8, 3, 8, 8, None, None, 8, 2]"
"<f6v.5,+P0>","[5, None, None, 8, 9, 0, 3]"
"<f6v.6,+P0>","[None, None, None, 8]"
"<f6v.7,+P0>","[None, None, 8, None, 8]"
"<f6v.8,+P0>","[None, None, None, None]"
"<f6v.9,+P0>","[None, 3, None, None, 8]"
"<f6v.10,+P0>","[None, None, None]"
"<f6v.11,+P0>","[3, None, 0, None]"
"<f6v.12,+P0>","[None, None, None, None]"
"<f6v.13,+P0>","[8, None, 8, None, None, 3]"
"<f6v.14,+P0>","[None, None, None, None]"
"<f6v.15,+P0>","[None, 8, 8, None, 8, 3, 3]"
"<f6v.16,+P0>","[None, None, None, None]"
"<f6v.17,+P0>","[None, None, None, 8]"
"<f6v.18,+P0>","[None, None, None]"
"<f6v.19,+P0>","[None, None, None, 8]"
"<f6v.20,+P0>","[None, None, 9, 8]"
"<f6v.21,+P0>","[None, None, None]"
<f7r>,[]
"<f7r.1,@P0>","[None, None, None, None, None, None, None]"
"<f7r.2,+P0>","[None, None, 8, None, 3, None, None, None, None]"
"<f7r.3,+P0>","[None, None, None, None, None, None]"
"<f7r.4,+P0>","[None, None, None, 8, None, None, 6]"
"<f7r.5,+P0>","[6, 0]"
"<f7r.6,+P0>","[None, None, None, None, None]"
"<f7r.7,+P0>","[None, None, None, None, 8, None, None, None]"
"<f7r.8,+P0>","[None, None, None, None, None, None, None, 8]"
"<f7r.9,+P0>","[None, None, None, None, None, None, None]"
"<f7r.10,+P0>","[8, None, None, 8, None]"
<f7v>,[]
"<f7v.1,@P0>","[None, None, None, None, None, 8, 8, None]"
"<f7v.2,+P0>","[None, None, 8, None, None, 8, None, None, None]"
"<f7v.3,+P0>","[None, None, None, None, 8, 3, 8, None, 6, None]"
"<f7v.4,+P0>","[None, None, None, 8, None, None, None, None, 8]"
"<f7v.5,+P0>","[None, None, None, None]"
"<f7v.6,+P0>","[None, None, None, None, None, 5, None]"
"<f7v.7,+P0>","[None, None, 6, None, 8, 8, 8, 8]"
"<f7v.8,+P0>","[None, 8, None, None, None, None, 8]"
"<f7v.9,+P0>","[None, None, 5, None, 8, None, 8, 3]"
<f8r>,[]
"<f8r.1,@P0>","[None, None, None, None, None, None, None, None, None]"
"<f8r.2,+P0>","[None, None, None, None, None, 8, None, 8, 3]"
"<f8r.3,+P0>","[None, None, 8, None, None, None, 8]"
"<f8r.4,+P0>","[None, None, None, None, None, None, None, None, 8]"
"<f8r.5,+P0>","[None, 8, 8, None, 8, 8, None, None, 9, None]"
"<f8r.6,+P0>","[None, None, 3, None, None, None, 5]"
"<f8r.7,+P0>","[None, None, None, 8]"
"<f8r.8,=Pt>","[None, 8]"
"<f8r.9,*P0>","[None, None, None, None, None, None, None, None]"
"<f8r.10,+P0>","[8, None, None, 8, None, None, 8, 5]"
"<f8r.11,+P0>","[None, None, 8, 8, None, None, None, 0]"
"<f8r.12,+P0>","[None, None, None]"
"<f8r.13,=Pt>",[None]
"<f8r.14,*P0>","[None, None, None, None, None, None, None, 8, None]"
"<f8r.15,+P0>","[None, None, None, None, None, None, 7, 8, None, None]"
"<f8r.16,+P0>","[None, None, None, None, None, None, 3]"
"<f8r.17,+P0>","[None, None, None, None, 8, None, 9, None, None]"
"<f8r.18,+P0>","[8, None, None, 7, 8, None, None, None]"
"<f8r.19,+P0>","[5, None, None, 3, None, 8, None, 8, 5]"
"<f8r.20,+P0>","[8, None, None, 8, 9, None]"
"<f8r.21,=Pt>","[None, 5]"
<f8v>,[]
"<f8v.1,@P0>","[None, None, 3, None, 0, None, None, 6, 8]"
"<f8v.2,+P0>","[None, 3, None, None, None, None, 0, 7]"
"<f8v.3,+P0>","[None, None, 8, None, None, None, None, None, 3]"
"<f8v.4,+P0>","[None, None, 3, None, None, None, 8, None]"
"<f8v.5,+P0>","[None, None, 3, None, 7, None, 3]"
"<f8v.6,+P0>","[8, None, None, None, 8, 3]"
"<f8v.7,+P0>","[None, None, 3, None, None, None, 8]"
"<f8v.8,+P0>","[None, None, None, None, None, 8]"
"<f8v.9,+P0>","[None, None, None, None, None, None]"
"<f8v.10,+P0>","[None, None, None, None, None]"
"<f8v.11,+P0>",[5]
"<f8v.12,+P0>","[None, None, 8, 3, None, None, None, 8]"
"<f8v.13,+P0>","[None, None, 8, None, None, None, 5]"
"<f8v.14,+P0>","[None, 9, 5, None, 9, None, None, None, None]"
"<f8v.15,+P0>","[8, None, None, 8, 9, None, None, None, None, None, 8]"
"<f8v.16,+P0>","[None, None, None, None, None, None, None, 8]"
"<f8v.17,+P0>","[8, None, 8]"
<f9r>,[]
"<f9r.1,@P0>","[3, None, None, None, 8, None, 6, 3, None, None]"
"<f9r.2,+P0>","[None, None, 2, None, None, 9, 8, 8, None]"
"<f9r.3,+P0>","[5, None, None, 0, None, 9, None, None, 3]"
"<f9r.4,+P0>","[None, None, None, None, None, 0, 8, 2, 3]"
"<f9r.5,+P0>","[8, None, 8, None, None, None, None, None, 0, 8]"
"<f9r.6,+P0>","[None, None, 9, None, None, 8, None, None]"
"<f9r.7,+P0>","[8, None, None, None, 2, None, None, None, 8]"
"<f9r.8,+P0>","[None, None, None, 9, 8, 8, 3, 8, None]"
"<f9r.9,+P0>","[None, None, None, None, 8]"
"<f9r.10,+Pc>","[None, 8, None]"
<f9v>,[]
"<f9v.1,@P0>","[None, 6, 8, None, 8, None, None, None, None, 8]"
"<f9v.2,+P0>","[None, None, None, None, None, None, None, 8, 0, None, 8]"
"<f9v.3,+P0>","[None, None, 2, 8, None, 0, 8, None, 8]"
"<f9v.4,+P0>","[None, 3, None, 0, 0, 8]"
"<f9v.5,+P0>","[None, None, None, None, None, 3, 3, None, 5]"
"<f9v.6,+P0>","[6, None, None, None, 8, None, None, 2]"
"<f9v.7,+P0>","[None, None, None, None, 8, 0, 8, 5]"
"<f9v.8,+P0>","[5, 8, None, 3, 3]"
"<f9v.9,+P0>","[8, None, 3, None, 3, 2]"
"<f9v.10,+P0>","[0, None, None, None, 8]"
"<f9v.11,+P0>","[None, None, 8]"
"<f9v.12,+P0>","[None, None, None]"
<f10r>,[]
"<f10r.1,@P0>","[None, None, None, None, None, None, None]"
"<f10r.2,+P0>","[None, None, None, None, 3, None, None, 8, 8, None]"
"<f10r.3,+P0>","[None, None, 8, None, None, None, 8, 2, 8, 8]"
"<f10r.4,+P0>","[8, None, None, None, 8, 8, None, 5, 8]"
"<f10r.5,+P0>","[None, None, None, None]"
"<f10r.6,+P0>","[None, None, None, None, None, 8, None, 3, None]"
"<f10r.7,+P0>","[None, None, None, 2, 8, None, 8, 5, 8]"
"<f10r.8,+P0>","[None, None, 0, None, None, None, 8, 3]"
"<f10r.9,+P0>","[None, None, None, None, 5, 8, None]"
"<f10r.10,+P0>","[None, 0, None, None, 6, 2]"
"<f10r.11,+P0>","[None, None, None, None, 0]"
"<f10r.12,+P0>","[8, 8, None, None]"
<f10v>,[]
"<f10v.1,@P0>","[8, 8, None, None, None, 8, None, 0, 5]"
"<f10v.2,+P0>","[8, 8, None, None, None, None, None, None, 8]"
"<f10v.3,+P0>","[None, None, None, 6, None, 8]"
"<f10v.4,+P0>","[None, None, 8, None, None, 2, 8]"
"<f10v.5,+P0>","[None, None, 8, None, None, None, 8, None, 8]"
"<f10v.6,+P0>","[None, None, None, None, None, None, None]"
"<f10v.7,+P0>","[None, None, None, 8, 8, None]"
<f11r>,[]
"<f11r.1,@P0>","[None, None, None, None, None, None, None, None]"
"<f11r.2,+P0>","[None, None, None, 8, None, None, None, 8]"
"<f11r.3,+P0>","[None, None, None, 8, None, None, 8, None, 8, 3]"
"<f11r.4,+P0>","[None, None, None, 8, 8]"
"<f11r.5,+P0>","[None, None, None, 3, None, 8, None, 8, None]"
"<f11r.6,+P0>","[6, 3, 0, None, None, 5, None, None, 8, 8]"
"<f11r.7,+P0>","[None, None, None, 8]"
<f11v>,[]
"<f11v.1,@P0>","[None, None, None, None, None, None, 9, 8]"
"<f11v.2,+P0>","[None, 8, None, None, 8, 8, None, 8, None]"
"<f11v.3,+P0>","[None, 8, None, None, 3, None, 8, None]"
"<f11v.4,+P0>","[None, None, None, None, None, None, None, 3]"
"<f11v.5,*L0>",[3]
"<f11v.6,=P0>","[5, None, None, None, 8, 8, None, None, 3]"
"<f11v.7,+P0>","[None, None, 8, None, 8, None]"
<f13r>,[]
"<f13r.1,@P0>","[None, None, None, 8, None, None, None, None, None]"
"<f13r.2,+P0>","[None, None, 8, None, 3, None, None, None, 8, 8, 8]"
"<f13r.3,+P0>","[8, None, None, None, 2, None, None, None, None, 3]"
"<f13r.4,+P0>","[None, None, None]"
"<f13r.5,+P0>","[None, None, None, None, None, None, None, None]"
"<f13r.6,+P0>","[None, 8, 8, None, None, None, None, 8]"
"<f13r.7,+P0>","[None, None, None, 8, None, 8, 6, None, 8]"
"<f13r.8,+P0>","[None, None, None, None, 8, None, 8]"
"<f13r.9,+P0>","[6, None, None, 5, 2, None, 3]"
"<f13r.10,+P0>","[None, None, 9]"
<f13v>,[]
"<f13v.1,@P0>","[9, None, None, None, 0, None, None]"
"<f13v.2,+P0>","[8, None, None, None, None, None]"
"<f13v.3,+P0>","[None, None, None, None, None]"
"<f13v.4,+P0>","[6, None, 9, 8, None, None]"
"<f13v.5,+P0>","[None, 8]"
"<f13v.6,+P0>","[3, None, None, 8, 0, None, None, 5]"
"<f13v.7,+P0>","[8, 9, None, None, None, 9, None]"
"<f13v.8,+P0>","[None, 8, 3, 2, None, 9, 3]"
"<f13v.9,+P0>","[None, 0, None, 2, 8, None, None, None]"
"<f13v.10,+P0>","[8, None, None, None, 3]"
<f14r>,[]
"<f14r.1,@P0>","[None, None, None, 8, 8]"
"<f14r.2,+P0>","[None, 8, None, None, 8, 9]"
"<f14r.3,+P0>","[3, None, None, 8, 6]"
"<f14r.4,+P0>","[None, 9, None, 8, 3]"
"<f14r.5,+P0>","[None, 3, 5, None]"
"<f14r.6,+P0>","[None, 6, 9, None, None]"
"<f14r.7,+P0>","[None, 8, None]"
"<f14r.8,+P0>","[None, None, None, None, 2, 8]"
"<f14r.9,+P0>","[8, None, None, None, 8, None, None]"
"<f14r.10,+P0>","[None, None, None, None, 8, 8, 8, None, 8]"
"<f14r.11,+P0>","[None, None, 8, None, 3, None, None, 8]"
"<f14r.12,+P0>","[None, None, None, None, None, None]"
"<f14r.13,+P0>","[8, None, None, None, None]"
<f14v>,[]
"<f14v.1,@P0>","[None, 2, None, 8, None, 8, 9, 3]"
"<f14v.2,+P0>","[None, None, 0, None, None, None, 3, None, 8]"
"<f14v.3,+P0>","[None, 8, None, 2, None, None, 8]"
"<f14v.4,+P0>","[2, None, None, None, None, 2, 8, 3]"
"<f14v.5,+P0>","[None, 8, None, None, None, 8, None, 0]"
"<f14v.6,+P0>","[None, 3, None, None, None, 3, None, None, 8]"
"<f14v.7,+P0>","[None, None, 3, 6, None, 8, None, None, 3]"
"<f14v.8,+P0>","[None, 8, None, 8, 8, 5, 8]"
"<f14v.9,+P0>","[None, None, None]"
<f15r>,[]
"<f15r.1,@P0>","[None, None, None, None, None, None, 8]"
"<f15r.2,+P0>","[None, None, 6, 9, None, 9]"
"<f15r.3,+P0>","[None, None, 8, None, None]"
"<f15r.4,+P0>","[None, None, None, 3, None, 5]"
"<f15r.5,+P0>","[None, 8, None, None, 8, None, 8]"
"<f15r.6,+P0>","[None, 9, None, 8, None]"
"<f15r.7,+P0>","[8, None, None, None, None]"
"<f15r.8,+P0>","[None, 5, 8, None]"
"<f15r.9,+P0>","[None, None, None, 6, None, 8]"
"<f15r.10,+P0>","[None, None, None, 5, None]"
"<f15r.11,+P0>","[8, 0, None, 8, None, None]"
"<f15r.12,+P0>","[None, None, None, None, None, None]"
"<f15r.13,+P0>","[None, 8, None, None, 8, 3, None, None]"
"<f15r.14,+P0>","[None, None, None, 8, None, 2, 8, 3]"
"<f15r.15,+P0>","[None, None, None, 8]"
<f15v>,[]
"<f15v.1,@P0>","[3, None, None, None, None]"
"<f15v.2,+P0>","[None, 8, 5, 8, None, 3, 3]"
"<f15v.3,+P0>","[None, 8, None, None, 8]"
"<f15v.4,+P0>","[5, None, None, None, None]"
"<f15v.5,+P0>","[None, None, None, None, None, 8]"
"<f15v.6,+P0>","[None, None, 8, None, 8, 8]"
"<f15v.7,+P0>","[3, None, None, 8, None, 8, None, 3, 6]"
"<f15v.8,+P0>","[None, None, 6, 6, 0, None, 8]"
"<f15v.9,+P0>","[None, None, None, None, 5]"
"<f15v.10,+P0>","[8, None, None, None, None]"
"<f15v.11,+P0>","[3, 6, None, None, 8, None]"
"<f15v.12,+P0>","[8, None, None, None]"
<f16r>,[]
"<f16r.1,@P0>","[None, None, 3, None, 8, None, 8, 8, None, 5]"
"<f16r.2,+P0>","[None, None, 9, None, 8, 0, None, None]"
"<f16r.3,+P0>","[3, None, None, None, None, 2]"
"<f16r.4,+Pc>","[5, None]"
"<f16r.5,*P0>","[None, None, None, None, None, None, 8]"
"<f16r.6,+P0>","[None, 3, None, None, 8, 3]"
"<f16r.7,+P0>","[8, None, 3, None, 8, 8, 3, None]"
"<f16r.8,+P0>","[None, 3, 2, None, 0, 8]"
"<f16r.9,+P0>","[8, 2]"
"<f16r.10,+P0>","[3, 3, None, None, 9]"
"<f16r.11,+P0>","[None, None, None, None, None, None, None]"
"<f16r.12,+P0>","[None, None, None, None, None]"
"<f16r.13,+P0>","[None, 3, 8, None]"
<f16v>,[]
"<f16v.1,@P0>","[None, None, None, None, None]"
"<f16v.2,+P0>","[None, 8, 8, None, None, None]"
"<f16v.3,+P0>","[None, 8, None, None, None, None]"
"<f16v.4,+P0>","[None, None, None, None, 3]"
"<f16v.5,+P0>","[None, None, None, None, None, 9]"
"<f16v.6,+P0>","[8, None, 0, None, None, 5]"
"<f16v.7,+P0>","[None, None, None, None, 8]"
"<f16v.8,+P0>","[8, None, 8, 8, None, None, None, None]"
"<f16v.9,+P0>","[None, 8, 8, None, None, None, 3, None]"
"<f16v.10,+P0>","[None, None, None, None, 0, None, None]"
"<f16v.11,+P0>","[9, None, 8]"
"<f16v.12,+P0>","[8, 2, 0, None]"
"<f16v.13,+P0>","[5, 6]"
<f17r>,[]
"<f17r.1,@P0>","[None, 5, 3, None, 8, 2, None, None, 8, None]"
"<f17r.2,+P0>","[3, None, None, None, None, 8, None, None, 6]"
"<f17r.3,+P0>","[None, 8, None, None, 8, 9, None, None]"
"<f17r.4,+P0>","[None, None, None, None, 6, 6, 3, None, 2]"
"<f17r.5,+P0>","[None, None, None, None, None, None, 5, None, None]"
"<f17r.6,+P0>","[None, None, None, None, None]"
"<f17r.7,+P0>","[None, None, None, None, 3, None]"
"<f17r.8,+P0>","[None, None, None, None]"
"<f17r.9,+P0>","[8, None, 8, 3, None]"
"<f17r.10,+P0>","[3, None, None, 5, 3, 3]"
